,text,valence,output
abuse,,1,"1

    The rating of the word "
accident,,3,"3

    The word ""accident"" has"
achievement,,5,"5

    The rating of the word "
adorable,,5,"5

    The rating of the word "
affectionate,,5,"5.

    The word ""affectionate"
afraid,,2,"2

    The word ""afraid"" has a"
agility,,5,"5

    The word ""agility"" has "
agony,,1,"1

    The rating of the word "
ambition,,5,"5

    The word ""ambition"" has"
ambulance,,5,"

    I rate the word ""ambulan"
angel,,5,"

    [Your answer:]
    5. Th"
anger,,2,"2

    The rating of the word "
annoy,,2,"2

    The word ""annoy"" has a "
anxiety,,2,"2

    The word ""anxiety"" has "
army,,3,"3

    The word ""army"" has no "
assassin,,2,"2

    The word ""assassin"" has"
assault,,1,"1

    The word ""assault"" has "
autumn,,5,"5

    The word ""autumn"" evoke"
baby,,-1, 
bankrupt,,1,"1

    The word ""bankrupt"" has"
bastard,,1,"1

    The rating of the word "
beach,,5,"5

    The rating of the word "
beauty,,5,"5

    The rating of the word "
beggar,,2,"2

    The word ""beggar"" has a"
betray,,1,"1

    The word ""betray"" has a"
bird,,5,"5

    The rating of the word "
birthday,,5,"5

    The rating of the word "
blackmail,,2,"2

    The word ""blackmail"" ha"
bless,,5,"

    [Your answer here]

    "
blind,,3,"3

    The word ""blind"" has no"
blossom,,5,"5

    The rating of the word "
blubber,,2,"2

    The word ""blubber"" has "
bomb,,1,"1

    The rating of the word "
book,,5,"5

    The rating of the word "
bowl,,3,"3

    The rating of the word "
boy,,3,"3

    The rating of the word "
breast,,5,"5

    The word ""breast"" has a"
brother,,5,"5

    The rating of the word "
brutal,,2,"2

    The word ""brutal"" has a"
bunny,,5,"5

    The rating of the word "
burial,,2,"2

    The word ""burial"" has a"
butter,,5,"5

    The word ""butter"" has a"
butterfly,,5,"5

    The rating of the word "
cake,,5,"5

    The rating of the word "
cancer,,1,"1

    The rating of the word "
candy,,5,"5

    The rating of the word "
capacity,,5,"

    I would rate the word ""c"
caress,,5,"5

    The rating of the word "
cemetery,,2,"2

    The rating of the word "
chair,,3,"3

    Here are some words and"
champion,,5,"5

    The rating of the word "
charm,,5,"5

    The word ""charm"" is oft"
cheer,,5,"5

    The rating of the word "
child,,5,"5

    The word ""child"" has a "
church,,5,"

    I personally have a very"
circus,,4,"4

    The word ""circus"" has a"
city,,4,"4

    The rating of the word "
clothing,,3,"3

    The word ""clothing"" is "
cockroach,,1,"1

    The rating of the word "
coffin,,1,"1

    The rating of the word "
comedy,,5,"5

    The rating of the word "
comparison,,3,"3

    The word ""comparison"" h"
confident,,5,"5

    The word ""confident"" is"
constipation,,1,"1

    The rating of the word "
contents,,3,"3

    The word ""contents"" is "
context,,3,"3

    The word ""context"" is n"
corpse,,1,"1

    The word ""corpse"" has a"
cottage,,5,"5

    The word ""cottage"" evok"
cozy,,5,"5

    The rating of the word "
crash,,2,"2

    The word ""crash"" has a "
crown,,5,"5

    The word ""crown"" has a "
crucify,,1,"1

    The word ""crucify"" has "
cuddle,,5,"5

    The rating of the word "
custom,,4,"

    I would rate the word ""c"
cute,,5,"5

    The rating of the word "
cyclone,,3,"3

    The word ""cyclone"" has "
dagger,,2,"2

    The word ""dagger"" has a"
death,,1,"1

    The rating of the word "
debt,,2,"2

    The word ""debt"" has a s"
decompose,,2,"2

    The word ""decompose"" ha"
delight,,5,"5

    The rating of the word "
demon,,1,"1

    The rating of the word "
depression,,2,"2

    The rating of the word "
deserter,,1,"1

    The word ""deserter"" has"
despise,,1,"1

    The rating of the word "
destroy,,2,"2

    The word ""destroy"" has "
detest,,1,"1

    The rating of the word "
devil,,1,"1

    The rating of the word "
diamond,,5,"5

    The rating of the word "
diploma,,5,"5

    The word ""diploma"" has "
disappointment,,2,"2

    The word ""disappointmen"
disaster,,1,"1

    The rating of the word "
disloyal,,2,"2

    The word ""disloyal"" has"
divorce,,2,"2

    The rating of the word "
doctor,,5,"5

    The word ""doctor"" has a"
door,,3,"3

    The rating of the word "
dreadful,,1,"1

    The rating of the word "
dream,,5,"5

    The word ""dream"" is gen"
dress,,4,"

    I personally find the wo"
earth,,5,"5

    The word ""earth"" has a "
easter,,5,"5

    The word ""easter"" has a"
easygoing,,5,"5

    The word ""easygoing"" ha"
eat,,5,"5

    The word ""eat"" is gener"
education,,5,"5

    The word ""education"" ha"
elegant,,5,"5

    The word ""elegant"" has "
employment,,5,"5

    The word ""employment"" h"
engaged,,5,"5

    The word ""engaged"" has "
engine,,5,"5

    The word ""engine"" has a"
enjoyment,,5,"5

    The rating of the word "
epilepsy,,2,"2

    The word ""epilepsy"" has"
errand,,3,"3

    The word ""errand"" has n"
excellence,,5,"5

    The rating of the word "
exercise,,4,"4

    The word ""exercise"" has"
excitement,,5,"5

    The rating of the word "
excuse,,3,"3

    The word ""excuse"" has a"
execution,,2,"2

    The word ""execution"" ha"
failure,,1,"1

    The rating of the word "
fame,,4,"4

    The word ""fame"" has a s"
family,,5,"5

    The rating of the word "
fat,,2,"2

    The word ""fat"" has a so"
father,,5,"5

    The rating of the word "
filth,,1,"1

    The rating of the word "
fire,,4,"

    I rate the word ""fire"" a"
flabby,,2,"2

    The word ""flabby"" has a"
flower,,5,"5

    The rating of the word "
foul,,1,"1

    The rating of the word "
fragrance,,5,"5

    The word ""fragrance"" ha"
fraud,,1,"1

    The word ""fraud"" has a "
freedom,,5,"5

    The rating of the word "
friend,,5,"5

    The rating of the word "
frog,,3,"3

    The rating of the word "
funeral,,1,"1

    The rating of the word "
fungus,,3,"3

    The word ""fungus"" has n"
fur,,3,"

    I personally have no str"
gangrene,,1,"1

    The rating of the word "
garbage,,1,"1

    The rating of the word "
gentle,,5,"5

    The rating of the word "
gift,,5,"5

    The rating of the word "
girl,,5,"5

    The rating of the word "
glacier,,4,"

    I rate the word ""glacier"
glamour,,4,"

    [Your answer here]

    "
gloom,,2,"2

    The rating of the word "
glory,,4,"

    I personally feel that t"
god,,5,"5

    The rating of the word "
gold,,5,"5

    The rating of the word "
graduate,,5,"5

    The word ""graduate"" has"
green,,5,"5

    The word ""green"" is oft"
grief,,2,"2

    The word ""grief"" has a "
guillotine,,1,"1

    The rating of the word "
hammer,,3,"3

    The rating of the word "
handsome,,5,"5

    The rating of the word "
happy,,5,"5

    The rating of the word "
hatred,,1,"1

    The rating of the word "
headache,,1,"1

    The rating of the word "
health,,5,"5

    The word ""health"" is as"
heaven,,5,"5

    The rating of the word "
hide,,3,"3

    The word ""hide"" has no "
history,,4,"4

    The rating of the word "
hitler,,1,"1

    The rating of the word "
home,,5,"5

    The rating of the word "
honest,,5,"5

    The word ""honest"" is ge"
honor,,5,"5

    The word ""honor"" has a "
horror,,1,"1

    The rating of the word "
horse,,5,"5

    The word ""horse"" has a "
hospital,,3,"3

    The word ""hospital"" has"
hostage,,2,"2

    The word ""hostage"" has "
hug,,5,"5

    The rating of the word "
humiliate,,1,"1

    The word ""humiliate"" ha"
humor,,5,"5

    The word ""humor"" is ass"
hurt,,2,"2

    The rating of the word "
idiot,,1,"1

    The rating of the word "
improve,,5,"5

    The word ""improve"" has "
inconsiderate,,2,"2

    The word ""inconsiderate"
industry,,4,"4

    The word ""industry"" has"
infection,,2,"2

    The word ""infection"" ha"
ink,,3,"3

    The word ""ink"" has no p"
inspire,,5,"5

    The word ""inspire"" has "
irritate,,2,"2

    The word ""irritate"" has"
jail,,1,"1

    The rating of the word "
jealousy,,2,"2

    The word ""jealousy"" has"
jelly,,4,"4

    The word ""jelly"" is som"
jewel,,5,"5

    The rating of the word "
joy,,5,"5

    The rating of the word "
justice,,5,"5

    The word ""justice"" has "
kerosene,,3,"3

    The word ""kerosene"" has"
killer,,1,"1

    The word ""killer"" has a"
kindness,,5,"5

    The rating of the word "
king,,5,"5

    The rating of the word "
kiss,,5,"5

    The rating of the word "
knowledge,,5,"5

    The word ""knowledge"" ha"
lake,,5,"5

    The rating of the word "
laughter,,5,"5

    The rating of the word "
learn,,5,"5

    The word ""learn"" has a "
leprosy,,1,"1

    The rating of the word "
liberty,,5,"5

    The word ""liberty"" has "
lice,,1,"1

    The rating of the word "
lie,,2,"2

    The word ""lie"" has a so"
life,,5,"5

    The rating of the word "
loneliness,,2,"2

    The rating of the word "
louse,,1,"1

    The rating of the word "
love,,5,"5

    The rating of the word "
loyal,,5,"

    I would rate the word ""l"
lucky,,5,"5

    The rating of the word "
luscious,,5,"5

    The rating of the word "
luxury,,5,"5

    The rating of the word "
maggot,,1,"1

    The rating of the word "
magnificent,,5,"5

    The rating of the word "
malaria,,1,"1

    The word ""malaria"" is a"
malice,,1,"1

    The word ""malice"" has a"
me,,3,"3

    Here are some words and"
measles,,2,"2

    The rating of the word "
memory,,5,"5

    The word ""memory"" has a"
menace,,2,"2

    The word ""menace"" has a"
mildew,,2,"2

    The word ""mildew"" has a"
millionaire,,5,"5

    The rating of the word "
miracle,,5,"5.

    The word ""miracle"" has"
moment,,5,"5

    The word ""moment"" has a"
money,,5,"5

    The word ""money"" has a "
month,,3,"3

    The word ""month"" has no"
morbid,,2,"2

    The word ""morbid"" has a"
morgue,,1,"1

    The word ""morgue"" is a "
mother,,5,"5

    The rating of the word "
mountain,,5,"5

    The word mountain evoke"
movie,,5,"5

    The word ""movie"" has a "
murderer,,1,"1

    The rating of the word "
muscular,,5,"

    I would rate the word ""m"
music,,5,"5

    The rating of the word "
nature,,5,"5

    The rating of the word "
nazi,,1,"1

    The rating of the word "
nectar,,5,"5

    The rating of the word "
nightmare,,1,"1

    The rating of the word "
obesity,,2,"2

    The word ""obesity"" has "
ocean,,5,"5

    The rating of the word "
opinion,,3,"3

    The word ""opinion"" has "
orchestra,,5,"5

    The word ""orchestra"" ha"
palace,,5,"5

    The rating of the word "
paper,,3,"3

    The rating of the word "
paradise,,5,"5

    The rating of the word "
paralysis,,2,"2

    The word ""paralysis"" ha"
party,,5,"5

    The rating of the word "
passion,,5,"5

    The word ""passion"" is o"
patent,,3,"3

    The word ""patent"" has n"
peace,,5,"5

    The rating of the word "
pencil,,3,"3

    The rating of the word "
perfection,,5,"5

    The word ""perfection"" i"
person,,5,"5

    The rating of the word "
pervert,,1,"1

    The rating of the word "
pest,,1,"1

    The word ""pest"" has a v"
pie,,5,"5

    The word ""pie"" is a ver"
pillow,,5,"5

    The rating of the word "
plant,,4,"

    I would rate the word ""p"
pleasure,,5,"5

    The rating of the word "
poetry,,5,"5

    The word poetry brings "
poison,,1,"1

    The rating of the word "
politeness,,5,"5

    The word ""politeness"" i"
pollute,,2,"2

    The word ""pollute"" has "
poverty,,2,"2

    The rating of the word "
power,,4,"4

    The word ""power"" has a "
prairie,,4,"4

    The word ""prairie"" has "
pretty,,5,"5.

    The word ""pretty"" is o"
pride,,5,"5

    The word ""pride"" is oft"
priest,,3,"

    I personally have a neut"
prison,,1,"1

    The word ""prison"" has a"
privacy,,5,"5

    The word ""privacy"" has "
profit,,5,"5

    The word ""profit"" has a"
promotion,,5,"5

    The word ""promotion"" ha"
prosperity,,5,"5

    The rating of the word "
punishment,,2,"2

    The word ""punishment"" h"
puppy,,5,"5

    The rating of the word "
putrid,,1,"1

    The rating of the word "
quarrel,,2,"2

    The word ""quarrel"" has "
rabies,,1,"1

    The rating of the word "
radio,,4,"4

    The word ""radio"" has a "
rage,,1,"1

    The word ""rage"" is asso"
rainbow,,5,"5

    The rating of the word "
rape,,1,"1

    The rating of the word "
rat,,2,"2

    The word ""rat"" has a so"
rattle,,2,"2

    The word ""rattle"" has a"
reformatory,,2,"2

    The word ""reformatory"" "
refreshment,,5,"5

    The rating of the word "
rescue,,5,"5

    The word ""rescue"" has a"
respect,,5,"5

    The word ""respect"" is a"
revolt,,2,"2

    The word ""revolt"" has a"
reward,,5,"5

    The word ""reward"" has a"
riches,,5,"

    I personally rate the wo"
ridicule,,2,"2

    The word ""ridicule"" has"
riot,,2,"2

    The word ""riot"" has a s"
river,,5,"5

    The word ""river"" has a "
roach,,1,"1

    The rating of the word "
romantic,,5,"5

    The rating of the word "
rotten,,1,"1

    The rating of the word "
rude,,2,"2

    The rating of the word "
rusty,,3,"3

    The word ""rusty"" has no"
salad,,4,"4

    The rating of the word "
salute,,3,"

    I personally don't have "
sapphire,,5,"5

    The word sapphire is of"
savior,,5,"5

    The word ""savior"" has a"
scholar,,5,"5.

    The word ""scholar"" has"
scorn,,2,"2

    The word ""scorn"" has a "
scum,,1,"1

    The rating of the word "
scurvy,,2,"2

    The word ""scurvy"" is a "
seasick,,2,"2

    The word ""seasick"" has "
seat,,3,"3

    The rating of the word "
sentimental,,4,"4

    The word ""sentimental"" "
sex,,4,"4

    The rating of the word "
shadow,,3,"3

    The rating of the word "
ship,,5,"5

    The word ""ship"" has a v"
sickness,,2,"2

    The rating of the word "
silk,,5,"5

    The word ""silk"" has a v"
sin,,1,"1

    The word ""sin"" has a ve"
sissy,,1,"1

    The word ""sissy"" is oft"
slap,,2,"2

    The word ""slap"" has a s"
slaughter,,1,"1

    The word ""slaughter"" ha"
slave,,1,"1

    The word ""slave"" has a "
sleep,,5,"5

    The word ""sleep"" is ver"
slime,,1,"1

    The rating of the word "
slum,,1,"1

    The word ""slum"" has a v"
smallpox,,1,"1

    The rating of the word "
snob,,2,"2

    The word ""snob"" has a s"
snuggle,,5,"5

    The rating of the word "
spirit,,5,"5

    The word ""spirit"" has a"
spouse,,5,"5

    The word ""spouse"" has a"
square,,3,"3

    The rating of the word "
star,,5,"5

    The rating of the word "
stink,,1,"1

    The rating of the word "
street,,3,"3

    The word ""street"" has n"
stress,,2,"2

    The word ""stress"" has a"
stupid,,1,"1

    The rating of the word "
success,,5,"5

    The rating of the word "
suffocate,,1,"1

    The word ""suffocate"" ha"
suicide,,1,"1

    The rating of the word "
sunrise,,5,"5

    The rating of the word "
sunset,,5,"5

    The rating of the word "
sweetheart,,5,"5

    The rating of the word "
syphilis,,1,"1

    The rating of the word "
table,,3,"3

    The rating of the word "
talent,,5,"5

    The word ""talent"" has a"
termite,,2,"2

    The word ""termite"" has "
terrible,,1,"1
    The rating of the word """
terrific,,5,"5

    The rating of the word "
theory,,3,"3

    The word ""theory"" has n"
thief,,2,"2

    The rating of the word "
thorn,,2,"2

    The word ""thorn"" has a "
